"subject_identifier" "activity" "feature_measurement_name" "total_average"
2 "WALKING" "tBodyAcc-mean()-X" 0.273113115788079
2 "WALKING" "tBodyAcc-mean()-Y" -0.0191323183174834
2 "WALKING" "tBodyAcc-mean()-Z" -0.115649958175497
2 "WALKING" "tBodyAcc-std()-X" -0.605586497159271
2 "WALKING" "tBodyAcc-std()-Y" -0.428962986589404
2 "WALKING" "tBodyAcc-std()-Z" -0.589360062210596
2 "WALKING" "tGravityAcc-mean()-X" 0.660782866688742
2 "WALKING" "tGravityAcc-mean()-Y" -0.147219886910411
2 "WALKING" "tGravityAcc-mean()-Z" 0.134865335090728
2 "WALKING" "tGravityAcc-std()-X" -0.963015508245033
2 "WALKING" "tGravityAcc-std()-Y" -0.960033560165563
2 "WALKING" "tGravityAcc-std()-Z" -0.945365383907285
2 "WALKING" "tBodyAccJerk-mean()-X" 0.0785353156747351
2 "WALKING" "tBodyAccJerk-mean()-Y" 0.00708771249764901
2 "WALKING" "tBodyAccJerk-mean()-Z" 0.000755760748377483
2 "WALKING" "tBodyAccJerk-std()-X" -0.557809603123841
2 "WALKING" "tBodyAccJerk-std()-Y" -0.491875889831788
2 "WALKING" "tBodyAccJerk-std()-Z" -0.741885388311258
2 "WALKING" "tBodyGyro-mean()-X" -0.0517030657821192
2 "WALKING" "tBodyGyro-mean()-Y" -0.0568420186817881
2 "WALKING" "tBodyGyro-mean()-Z" 0.0872599422291391
2 "WALKING" "tBodyGyro-std()-X" -0.710648927815894
2 "WALKING" "tBodyGyro-std()-Y" -0.722943674337748
2 "WALKING" "tBodyGyro-std()-Z" -0.634888927843046
2 "WALKING" "tBodyGyroJerk-mean()-X" -0.0875587491668874
2 "WALKING" "tBodyGyroJerk-mean()-Y" -0.0433986835453642
2 "WALKING" "tBodyGyroJerk-mean()-Z" -0.0557541828188742
2 "WALKING" "tBodyGyroJerk-std()-X" -0.671679103311258
2 "WALKING" "tBodyGyroJerk-std()-Y" -0.783595466728477
2 "WALKING" "tBodyGyroJerk-std()-Z" -0.674611933293046
2 "WALKING" "tBodyAccMag-mean()" -0.535281800541722
2 "WALKING" "tBodyAccMag-std()" -0.552812545643709
2 "WALKING" "tGravityAccMag-mean()" -0.535281800541722
2 "WALKING" "tGravityAccMag-std()" -0.552812545643709
2 "WALKING" "tBodyAccJerkMag-mean()" -0.58777744543543
2 "WALKING" "tBodyAccJerkMag-std()" -0.512115278415232
2 "WALKING" "tBodyGyroMag-mean()" -0.614771054893146
2 "WALKING" "tBodyGyroMag-std()" -0.680584887880795
2 "WALKING" "tBodyGyroJerkMag-mean()" -0.746559539039735
2 "WALKING" "tBodyGyroJerkMag-std()" -0.740088733655629
2 "WALKING" "fBodyAcc-mean()-X" -0.57377091142947
2 "WALKING" "fBodyAcc-mean()-Y" -0.432566581302351
2 "WALKING" "fBodyAcc-mean()-Z" -0.630081222124834
2 "WALKING" "fBodyAcc-std()-X" -0.619788102803311
2 "WALKING" "fBodyAcc-std()-Y" -0.464723862913245
2 "WALKING" "fBodyAcc-std()-Z" -0.600678614835099
2 "WALKING" "fBodyAccJerk-mean()-X" -0.561682049622185
2 "WALKING" "fBodyAccJerk-mean()-Y" -0.50890379901457
2 "WALKING" "fBodyAccJerk-mean()-Z" -0.715745330403973
2 "WALKING" "fBodyAccJerk-std()-X" -0.595105612895033
2 "WALKING" "fBodyAccJerk-std()-Y" -0.509147543673841
2 "WALKING" "fBodyAccJerk-std()-Z" -0.767087015496689
2 "WALKING" "fBodyGyro-mean()-X" -0.638717694593046
2 "WALKING" "fBodyGyro-mean()-Y" -0.722068978635762
2 "WALKING" "fBodyGyro-mean()-Z" -0.601594889654305
2 "WALKING" "fBodyGyro-std()-X" -0.734588540182119
2 "WALKING" "fBodyGyro-std()-Y" -0.72716774102649
2 "WALKING" "fBodyGyro-std()-Z" -0.683114494539735
2 "WALKING" "fBodyAccMag-mean()" -0.514569861316887
2 "WALKING" "fBodyAccMag-std()" -0.646662308457285
2 "WALKING" "fBodyBodyAccJerkMag-mean()" -0.509746432970861
